handle,title,brand,categories,gender,family_ro,family_ru,family_en,notes,notes_top,notes_heart,notes_base,description_ro,description_ru,description_en,images,is_new,is_hit,volume,sku,price,old_price,stock,is_active
AFNAN-TURATHI-BROWN,Turathi Brown Eau de Parfum,afnan,barbati,male,Lemnos Condimentat,Древесный Пряный,Woody Spicy,aldehyde-c-10|aldehyde-c-12-mna|aldehydes|almond|amber|ambergris|amber-xtreme|ambrettolide|ambrocenide|ambroxan-ambroxide,aldehyde-c-10|aldehyde-c-12-mna|aldehydes,almond|amber|ambergris|amber-xtreme,ambrettolide|ambrocenide|ambroxan-ambroxide,"Un amestec captivant de condimente proaspete și lemn cald. Se deschide cu citrice energizante, evoluează în floral și picant, și se așeză într-un final mosc-balsamic. Perfect pentru serile răcoroase.","Пленительное сочетание свежих специй и тёплого дерева. Открывается бодрящими цитрусовыми нотами, переходит в цветочно-пряное сердце и оседает в мускусно-бальзамическом финише. Для вечернего образа и прохладных сезонов.","A captivating blend of fresh spices and warm woods. Opens with energising citrus, evolves into florals and spice, settles into a musky balsamic finish. Perfect for evening wear and cooler seasons.",Afnan-Turathi Brown-2.webp,,0,5ml,AFNAN-TB-90,100,,,1
AFNAN-TURATHI-BROWN,Turathi Brown Eau de Parfum,afnan,barbati,male,Lemnos Condimentat,Древесный Пряный,Woody Spicy,aldehyde-c-10|aldehyde-c-12-mna|aldehydes|almond|amber|ambergris|amber-xtreme|ambrettolide|ambrocenide|ambroxan-ambroxide,aldehyde-c-10|aldehyde-c-12-mna|aldehydes,almond|amber|ambergris|amber-xtreme,ambrettolide|ambrocenide|ambroxan-ambroxide,"Un amestec captivant de condimente proaspete și lemn cald. Se deschide cu citrice energizante, evoluează în floral și picant, și se așeză într-un final mosc-balsamic. Perfect pentru serile răcoroase.","Пленительное сочетание свежих специй и тёплого дерева. Открывается бодрящими цитрусовыми нотами, переходит в цветочно-пряное сердце и оседает в мускусно-бальзамическом финише. Для вечернего образа и прохладных сезонов.","A captivating blend of fresh spices and warm woods. Opens with energising citrus, evolves into florals and spice, settles into a musky balsamic finish. Perfect for evening wear and cooler seasons.",Afnan-Turathi Brown-2.webp,,0,10ml,AFNAN-TB-90,200,,,1
AFNAN-TURATHI-BROWN,Turathi Brown Eau de Parfum,afnan,barbati,male,Lemnos Condimentat,Древесный Пряный,Woody Spicy,aldehyde-c-10|aldehyde-c-12-mna|aldehydes|almond|amber|ambergris|amber-xtreme|ambrettolide|ambrocenide|ambroxan-ambroxide,aldehyde-c-10|aldehyde-c-12-mna|aldehydes,almond|amber|ambergris|amber-xtreme,ambrettolide|ambrocenide|ambroxan-ambroxide,"Un amestec captivant de condimente proaspete și lemn cald. Se deschide cu citrice energizante, evoluează în floral și picant, și se așeză într-un final mosc-balsamic. Perfect pentru serile răcoroase.","Пленительное сочетание свежих специй и тёплого дерева. Открывается бодрящими цитрусовыми нотами, переходит в цветочно-пряное сердце и оседает в мускусно-бальзамическом финише. Для вечернего образа и прохладных сезонов.","A captivating blend of fresh spices and warm woods. Opens with energising citrus, evolves into florals and spice, settles into a musky balsamic finish. Perfect for evening wear and cooler seasons.",Afnan-Turathi Brown-2.webp,,0,Full Size,AFNAN-TB-90,800,,,1
MA-ENCODE-MOUNTAIN,Encode Mountain Eau de Parfum,maison-alhambra,barbati,male,Lemnos Proaspăt,Свежий Древесный,Fresh Woody,aldehyde-c-10|aldehyde-c-12-mna|aldehydes|almond|amber|ambergris|amber-xtreme|ambrettolide|ambrocenide|ambroxan-ambroxide,almond|amber|ambergris|amber-xtreme,aldehyde-c-10|aldehyde-c-12-mna|aldehydes,almond|amber|ambergris|amber-xtreme,"Proaspăt și robust, captând spiritul naturii și al forței. Se deschide cu violetă, lavandă și grapefruit, înflorește în salvie și iasomie, și se încheie cu cedru și ambră caldă. Pentru bărbați activi și îndrăzneți.","Свежий и брутальный аромат, передающий дух природы и силы. Открывается фиалкой, лавандой и грейпфрутом, раскрывается шалфеем и жасмином, завершается кедром и тёплой амброй. Для уверенных и активных мужчин.","Fresh and rugged, capturing the spirit of nature and strength. Opens with violet, lavender and grapefruit, blooms into clary sage and jasmine, and settles into cedarwood and warm amber. For grounded, adventurous men.",Maison Alhambra-Encode Mountain-1.webp|Maison Alhambra-Encode Mountain-2.jpg|Maison Alhambra-Encode Mountain-3.webp,,0,5ml,MA-EM-100,100,,,1
MA-ENCODE-MOUNTAIN,Encode Mountain Eau de Parfum,maison-alhambra,barbati,male,Lemnos Proaspăt,Свежий Древесный,Fresh Woody,aldehyde-c-10|aldehyde-c-12-mna|aldehydes|almond|amber|ambergris|amber-xtreme|ambrettolide|ambrocenide|ambroxan-ambroxide,almond|amber|ambergris|amber-xtreme,aldehyde-c-10|aldehyde-c-12-mna|aldehydes,almond|amber|ambergris|amber-xtreme,"Proaspăt și robust, captând spiritul naturii și al forței. Se deschide cu violetă, lavandă și grapefruit, înflorește în salvie și iasomie, și se încheie cu cedru și ambră caldă. Pentru bărbați activi și îndrăzneți.","Свежий и брутальный аромат, передающий дух природы и силы. Открывается фиалкой, лавандой и грейпфрутом, раскрывается шалфеем и жасмином, завершается кедром и тёплой амброй. Для уверенных и активных мужчин.","Fresh and rugged, capturing the spirit of nature and strength. Opens with violet, lavender and grapefruit, blooms into clary sage and jasmine, and settles into cedarwood and warm amber. For grounded, adventurous men.",Maison Alhambra-Encode Mountain-1.webp|Maison Alhambra-Encode Mountain-2.jpg|Maison Alhambra-Encode Mountain-3.webp,,0,10ml,MA-EM-100,200,,,1
MA-ENCODE-MOUNTAIN,Encode Mountain Eau de Parfum,maison-alhambra,barbati,male,Lemnos Proaspăt,Свежий Древесный,Fresh Woody,aldehyde-c-10|aldehyde-c-12-mna|aldehydes|almond|amber|ambergris|amber-xtreme|ambrettolide|ambrocenide|ambroxan-ambroxide,almond|amber|ambergris|amber-xtreme,aldehyde-c-10|aldehyde-c-12-mna|aldehydes,almond|amber|ambergris|amber-xtreme,"Proaspăt și robust, captând spiritul naturii și al forței. Se deschide cu violetă, lavandă și grapefruit, înflorește în salvie și iasomie, și se încheie cu cedru și ambră caldă. Pentru bărbați activi și îndrăzneți.","Свежий и брутальный аромат, передающий дух природы и силы. Открывается фиалкой, лавандой и грейпфрутом, раскрывается шалфеем и жасмином, завершается кедром и тёплой амброй. Для уверенных и активных мужчин.","Fresh and rugged, capturing the spirit of nature and strength. Opens with violet, lavender and grapefruit, blooms into clary sage and jasmine, and settles into cedarwood and warm amber. For grounded, adventurous men.",Maison Alhambra-Encode Mountain-1.webp|Maison Alhambra-Encode Mountain-2.jpg|Maison Alhambra-Encode Mountain-3.webp,,0,Full Size,MA-EM-100,800,,,1
MA-MONOCLINE-05,Monocline 05 Eau de Parfum,maison-alhambra,unisex,unisex,Lemnos Citric,Древесный Цитрусовый,Woody Citrus,aldehyde-c-10|aldehyde-c-12-mna|aldehydes|almond|amber|ambergris|amber-xtreme|ambrettolide|ambrocenide|ambroxan-ambroxide,ambrettolide|ambrocenide|ambroxan-ambroxide,almond|amber|ambergris|amber-xtreme,aldehyde-c-10|aldehyde-c-12-mna|aldehydes,"Minimalist, modern și învăluitor. Note citrice vibrante deschid compoziția, o inimă florală adaugă eleganță, iar o bază lemnoasă caldă asigură longevitate. Pentru cei care apreciază puritatea și sofisticarea discretă.","Минималистичный, современный и обволакивающий унисекс-аромат. Яркие цитрусовые ноты открывают композицию, флоральное сердце добавляет элегантность, а тёплая древесная база обеспечивает долгое звучание. Для тех, кто ценит чистоту и сдержанное совершенство.","Minimalist, modern, and enveloping unisex fragrance. Vibrant citrus top notes open the composition, a floral heart adds elegance, and a warm woody base ensures lasting wear. For those who appreciate purity and understated sophistication.",Maison Alhambra-Monocline 05-1.webp|Maison Alhambra-Monocline 05-2.jpg|Maison Alhambra-Monocline 05-3.webp,,0,5ml,MA-MO-100,100,,,1
MA-MONOCLINE-05,Monocline 05 Eau de Parfum,maison-alhambra,unisex,unisex,Lemnos Citric,Древесный Цитрусовый,Woody Citrus,aldehyde-c-10|aldehyde-c-12-mna|aldehydes|almond|amber|ambergris|amber-xtreme|ambrettolide|ambrocenide|ambroxan-ambroxide,ambrettolide|ambrocenide|ambroxan-ambroxide,almond|amber|ambergris|amber-xtreme,aldehyde-c-10|aldehyde-c-12-mna|aldehydes,"Minimalist, modern și învăluitor. Note citrice vibrante deschid compoziția, o inimă florală adaugă eleganță, iar o bază lemnoasă caldă asigură longevitate. Pentru cei care apreciază puritatea și sofisticarea discretă.","Минималистичный, современный и обволакивающий унисекс-аромат. Яркие цитрусовые ноты открывают композицию, флоральное сердце добавляет элегантность, а тёплая древесная база обеспечивает долгое звучание. Для тех, кто ценит чистоту и сдержанное совершенство.","Minimalist, modern, and enveloping unisex fragrance. Vibrant citrus top notes open the composition, a floral heart adds elegance, and a warm woody base ensures lasting wear. For those who appreciate purity and understated sophistication.",Maison Alhambra-Monocline 05-1.webp|Maison Alhambra-Monocline 05-2.jpg|Maison Alhambra-Monocline 05-3.webp,,0,10ml,MA-MO-100,200,,,1
MA-MONOCLINE-05,Monocline 05 Eau de Parfum,maison-alhambra,unisex,unisex,Lemnos Citric,Древесный Цитрусовый,Woody Citrus,aldehyde-c-10|aldehyde-c-12-mna|aldehydes|almond|amber|ambergris|amber-xtreme|ambrettolide|ambrocenide|ambroxan-ambroxide,ambrettolide|ambrocenide|ambroxan-ambroxide,almond|amber|ambergris|amber-xtreme,aldehyde-c-10|aldehyde-c-12-mna|aldehydes,"Minimalist, modern și învăluitor. Note citrice vibrante deschid compoziția, o inimă florală adaugă eleganță, iar o bază lemnoasă caldă asigură longevitate. Pentru cei care apreciază puritatea și sofisticarea discretă.","Минималистичный, современный и обволакивающий унисекс-аромат. Яркие цитрусовые ноты открывают композицию, флоральное сердце добавляет элегантность, а тёплая древесная база обеспечивает долгое звучание. Для тех, кто ценит чистоту и сдержанное совершенство.","Minimalist, modern, and enveloping unisex fragrance. Vibrant citrus top notes open the composition, a floral heart adds elegance, and a warm woody base ensures lasting wear. For those who appreciate purity and understated sophistication.",Maison Alhambra-Monocline 05-1.webp|Maison Alhambra-Monocline 05-2.jpg|Maison Alhambra-Monocline 05-3.webp,,0,Full Size,MA-MO-100,800,,,1
MA-NARISSA-ET-MOI,Narissa et Moi Eau de Parfum,maison-alhambra,femei,female,Oriental Floral,Ориентальный Цветочный,Oriental Floral,aldehyde-c-10|aldehyde-c-12-mna|aldehydes|almond|amber|ambergris|amber-xtreme|ambrettolide|ambrocenide|ambroxan-ambroxide,ambrettolide|ambrocenide|ambroxan-ambroxide,aldehyde-c-10|aldehyde-c-12-mna|aldehydes,ambra|caramel|casmir|cedru|cocos|lapte,"Un parfum fructat-floral de lux cu accente gourmand. Coacăze negre și piersică deschid senzual, un buchet floral bogat adaugă rafinament, iar o bază caldă de caramel și ambră lasă un sillage irezistibil.","Роскошный фруктово-флоральный гурманский аромат. Сочные смородина и персик открывают композицию, богатый цветочный букет добавляет изысканность, а тёплая кремовая база из карамели и амбры оставляет неотразимый шлейф.","A luxurious fruity-floral gourmand fragrance. Juicy blackcurrant and peach open the scent, a rich floral bouquet adds refinement, and a warm creamy base of caramel and amber leaves an irresistible trail.",Maison Alhambra — Narissa et Moi - 1.jpg|Maison Alhambra — Narissa et Moi - 2.webp|Maison Alhambra — Narissa et Moi - 3.webp,,0,5ml,MA-NM-100,100,,,1
