handle,locale,description
MO-SIGNATURE-WOOD,ru,"Тёплое дерево и прозрачный бергамот: спокойный аромат для длинных дней."
MO-SIGNATURE-WOOD,en,"Warm wood and clear bergamot: a calm scent for long days."
MO-IRIS-PAPER,ru,"Пудровый ирис на тёплой бумаге — сдержанно, но заметно."
MO-IRIS-PAPER,en,"Powdery iris on warm paper — restrained, but present."
MO-NUIT-AMBREE,ru,"Тёмная ваниль и перец — вечер, который никуда не спешит."
MO-NUIT-AMBREE,en,"Dark vanilla and pepper — an evening in no hurry."
NA-COLD-CEDAR,ru,"Холодный кедр и резкий лимон: утренний воздух в лесу."
NA-COLD-CEDAR,en,"Cold cedar and sharp lemon: morning air in a forest."
NA-PALE-LINEN,ru,"Чистый текстиль и белый мускус — простейшая форма свежести."
NA-PALE-LINEN,en,"Clean textile and white musk — freshness at its simplest."
NA-STONE-GARDEN,ru,"Мокрый камень, роза и дерево: сад после дождя."
NA-STONE-GARDEN,en,"Wet stone, rose and wood: a garden after rain."
NA-WINTER-ARCHIVE,ru,"Архивный выпуск: холодный кедр и ирис. Сейчас распродан."
NA-WINTER-ARCHIVE,en,"An archive release: cold cedar and iris. Currently sold out."
MO-AMBER-SALE,ru,"Тёплый янтарь с перцем — сезонное издание по сниженной цене."
MO-AMBER-SALE,en,"Warm amber with pepper — a seasonal edition at a reduced price."
CL-VANILIE-CALDA,ru,"Домашняя ваниль без избыточной сладости."
CL-VANILIE-CALDA,en,"Kitchen vanilla, without excess sweetness."
CL-TRANDAFIR-DE-MAI,ru,"Только что срезанная роза, без ностальгии."
CL-TRANDAFIR-DE-MAI,en,"Freshly cut rose, without nostalgia."
CL-PIPER-SI-LEMN,ru,"Сухие специи и дерево — для осенних вечеров."
CL-PIPER-SI-LEMN,en,"Dry spice and wood — for autumn evenings."
CL-SET-DESCOPERIRE,ru,"Три пробника по 2 мл, чтобы найти свой аромат."
CL-SET-DESCOPERIRE,en,"Three 2 ml samples to find the right scent."
