handle,slug,title,brand,categories,gender,family_ro,notes,notes_top,notes_heart,notes_base,description,is_new,is_hit,volume,sku,price,old_price,stock
MO-SIGNATURE-WOOD,maison-orphee-signature-wood,Signature Wood,maison-orphee,unisex,unisex,woody,bergamota|santal|cedru,bergamota,cedru,santal,Lemn cald și bergamotă limpede: un parfum liniștit pentru zilele lungi.,1,1,5ml,MO-SW-05,240,,12
MO-SIGNATURE-WOOD,maison-orphee-signature-wood,Signature Wood,maison-orphee,unisex,unisex,woody,bergamota|santal|cedru,bergamota,cedru,santal,Lemn cald și bergamotă limpede: un parfum liniștit pentru zilele lungi.,1,1,10ml,MO-SW-10,420,,8
MO-SIGNATURE-WOOD,maison-orphee-signature-wood,Signature Wood,maison-orphee,unisex,unisex,woody,bergamota|santal|cedru,bergamota,cedru,santal,Lemn cald și bergamotă limpede: un parfum liniștit pentru zilele lungi.,1,1,Full Size,MO-SW-30,980,,4
MO-IRIS-PAPER,maison-orphee-iris-paper,Iris Paper,maison-orphee,femei,female,floral,iris|trandafir|mosc,trandafir,iris,mosc,"Iris pudrat pe hârtie caldă — discret, dar prezent.",1,0,5ml,MO-IP-05,260,,6
MO-IRIS-PAPER,maison-orphee-iris-paper,Iris Paper,maison-orphee,femei,female,floral,iris|trandafir|mosc,trandafir,iris,mosc,"Iris pudrat pe hârtie caldă — discret, dar prezent.",1,0,10ml,MO-IP-10,450,,5
MO-IRIS-PAPER,maison-orphee-iris-paper,Iris Paper,maison-orphee,femei,female,floral,iris|trandafir|mosc,trandafir,iris,mosc,"Iris pudrat pe hârtie caldă — discret, dar prezent.",1,0,Full Size,MO-IP-30,1040,,2
MO-NUIT-AMBREE,maison-orphee-nuit-ambree,Nuit Ambrée,maison-orphee,unisex,unisex,oriental,vanilie|santal|piper-negru,piper-negru,vanilie,santal,Vanilie întunecată și piper — o seară care nu se grăbește.,0,1,5ml,MO-NA-05,280,,4
MO-NUIT-AMBREE,maison-orphee-nuit-ambree,Nuit Ambrée,maison-orphee,unisex,unisex,oriental,vanilie|santal|piper-negru,piper-negru,vanilie,santal,Vanilie întunecată și piper — o seară care nu se grăbește.,0,1,10ml,MO-NA-10,480,,3
MO-NUIT-AMBREE,maison-orphee-nuit-ambree,Nuit Ambrée,maison-orphee,unisex,unisex,oriental,vanilie|santal|piper-negru,piper-negru,vanilie,santal,Vanilie întunecată și piper — o seară care nu se grăbește.,0,1,Full Size,MO-NA-30,1120,,0
NA-COLD-CEDAR,nord-atelier-cold-cedar,Cold Cedar,nord-atelier,barbati,male,woody,cedru|piper-negru|lamaie,lamaie,piper-negru,cedru,Cedru rece și lămâie tăioasă: aer de dimineață în pădure.,1,0,5ml,NA-CC-05,220,,10
NA-COLD-CEDAR,nord-atelier-cold-cedar,Cold Cedar,nord-atelier,barbati,male,woody,cedru|piper-negru|lamaie,lamaie,piper-negru,cedru,Cedru rece și lămâie tăioasă: aer de dimineață în pădure.,1,0,10ml,NA-CC-10,390,,7
NA-COLD-CEDAR,nord-atelier-cold-cedar,Cold Cedar,nord-atelier,barbati,male,woody,cedru|piper-negru|lamaie,lamaie,piper-negru,cedru,Cedru rece și lămâie tăioasă: aer de dimineață în pădure.,1,0,Full Size,NA-CC-30,900,,5
